id,study_id,study_DOI,stat_test,reported_result,p_value,p_operator,p_sidedness,t_value,t_df,f_value,f_df1,f_df2,z_value,chi2_value,chi2_df,r_value,n1,n2,n_total,n_eff,effect_size_type,effect_size_value,estimate,se_estimate,notes
1,study_3,10.1037/stl0000432,manova,"F(3, 164) = 2.14, p = .10, Wilks’ lambda= .96, eta_p2= .04.",0.1,=,omnibus,,,2.14,3,164,,,,,,,,,eta_p2,0.04,,,
2,study_3,10.1037/stl0000432,manova,"F(3, 164) = 0.78, p = .51, Wilks’ lambda = .99, eta_p2= .01",0.51,=,omnibus,,,0.78,3,164,,,,,,,,,eta_p2,0.01,,,
3,study_5,10.1037/stl0000136,independent_t_test,"t(154) = 3.26, p < .001, d = 0.74",0.001,<,two_sided,3.26,154,,,,,,,,,,156,,cohens_d,0.74,,,
4,study_5,10.1037/stl0000136,independent_t_test,"t (154) = 16.06, p <.001, d = 3.63",0.001,<,two_sided,16.06,154,,,,,,,,,,156,,cohens_d,3.63,,,
5,study_6,10.1177/14757257241295302,factorial_between_anova,"(p < .001, eta_p2 = .288)",0.001,<,omnibus,,,,,,,,,,,,,,eta_p2,0.288,,,
6,study_10,10.1037/stl0000338,factorial_between_anova,"F(2, 1043) = 103.50, p < .001",0.001,<,omnibus,,,103.5,2,1043,,,,,,,,,,,,,
7,study_10,10.1037/stl0000338,factorial_between_anova,"F(2, 1043)= 25.51, p < .001",0.001,<,omnibus,,,25.51,2,1043,,,,,,,,,,,,,
8,study_13,10.1177/00986283221142016,welch_independent_t_test,"tₛₐₜ(455.40) = 14.45, p < .0005, d = 1.35",0.001,<,two_sided,14.45,455.4,,,,,,,,,,,,cohens_d,1.35,,,
9,study_13,10.1177/00986283221142016,welch_independent_t_test,"tₛₐₜ (466.17) = 9.79, p < .001, d = 0.91",0.001,<,two_sided,9.79,466.17,,,,,,,,,,,,cohens_d,0.91,,,
10,study_14,10.1177/1475725719859453,pearson_correlation,"r(56) = .46, p < .001",0.001,<,two_sided,,,,,,,,,0.46,,,58,58,correlation_r,0.46,,,
11,study_14,10.1177/1475725719859453,pearson_correlation,"r(228)= .30, p < .001",0.001,<,two_sided,,,,,,,,,0.3,,,230,230,correlation_r,0.3,,,
12,study_18,10.1177/00986283221130298,manova,"F(16, 574) = 36.66, p < .001, Pillai’s Trace = 1.011, eta_p2= .505.",0.001,<,omnibus,,,36.66,16,574,,,,,,,,,eta_p2,0.505,,,
13,study_20,10.1177/14757257221098860,sem_contrast,"((MDV + MR + MRSI)/3 – MC = .372, SE = .183, p = .021; one-sided test)",0.021,=,one_sided,,,,,,,,,,,,,,,,0.372,0.183,
14,study_20,10.1177/14757257221098860,sem_contrast,"(MRSI- MR= .081, SE= .227, p = .360; one-sided test).",0.36,=,one_sided,,,,,,,,,,,,,,,,0.081,0.227,
15,study_21,10.1177/0098628318762900,paired_t_test,"Pre-lecture : M = 5.31, SD = 0.96 , Post-lecture: M = 4.94, SD = 1.10, d = -0.36 , p < .001",0.001,<,two_sided,,,,,,,,,,,,,,cohens_d,-0.36,,,
16,study_22,10.1177/14757257231163482,repeated_measures_anova,"F(1, 23) = 50.76, p < .001, eta_p2 = .688",0.001,<,omnibus,,,50.76,1,23,,,,,,,24,24,eta_p2,0.688,,,
17,study_26,10.1177/00986283221108129,wilcoxon_signed_rank,"women: z = -6.155, p < .001, r = -.87",0.001,<,two_sided,,,,,,-6.155,,,,,,,,wilcoxon_r,-0.87,,,
18,study_26,10.1177/00986283221108129,wilcoxon_signed_rank,"z = -6.126, p < .001, r = -.87",0.001,<,two_sided,,,,,,-6.126,,,,,,,,wilcoxon_r,-0.87,,,
19,study_30,10.1037/stl0000104,paired_t_test,"t(36) = -1.21, p = .23",0.23,=,two_sided,-1.21,36,,,,,,,,,,37,37,,,,,
20,study_33,10.1037/stl0000227,one_sample_t_test,"t(11) = 4.27, p = .001, d = 1.23, 95% CI [0.58, 1.81]",0.001,=,two_sided,4.27,11,,,,,,,,,,12,12,cohens_d,1.23,,,
21,study_33,10.1037/stl0000227,one_sample_t_test,"t(11) = 16.03, p = .001, d = 4.63, 95% CI[1.41, 1.86])",0.001,=,two_sided,16.03,11,,,,,,,,,,12,12,cohens_d,4.63,,,
22,study_35,10.1037/stl0000314,mixed_anova,"F(2116) = 4.22, p < .02, eta_p2 = .07",0.02,<,omnibus,,,,,,,,,,,,,,eta_p2,0.07,,,
23,study_37,10.1037/stl0000356,mixed_effects_logistic_regression,"Log-odds= 1.23, p < .001",0.001,<,two_sided,,,,,,,,,,,,,,,,1.23,,
24,study_37,10.1037/stl0000356,mixed_effects_logistic_regression,"(Log-odds = -1.11, p = .010)",0.01,=,two_sided,,,,,,,,,,,,,,,,-1.11,,
25,study_39,10.1037/stl0000385,spearman_correlation,"rho = .468, p = .008",0.008,=,two_sided,,,,,,,,,0.468,,,,,spearman_rho,0.468,,,
26,study_39,10.1037/stl0000385,spearman_correlation,"p =.394, p = .031",0.394,=,two_sided,,,,,,,,,,,,,,,,,,
