study_id,recomputation_status,stat_test,n_results
study_10,recomputed_from_raw_data,factorial_between_anova,2
study_13,recomputed_from_raw_data,welch_independent_t_test,2
study_14,recomputed_from_raw_data_pairwise_complete,pearson_correlation,2
study_18,recomputed_from_raw_data,manova,1
study_20,recomputed_from_raw_data_supplied_sem_model,sem_contrast,2
study_21,recomputed_from_raw_data,paired_t_test,1
study_22,recomputed_from_original_author_aggregate_variables,repeated_measures_anova,1
study_26,recomputed_from_author_composite_variables,wilcoxon_signed_rank,2
study_27,recomputed_from_raw_data,paired_t_test,1
study_27,recomputed_from_raw_data_effect_size_average_sd_off_by_rounding,paired_t_test,1
study_29,recomputed_from_raw_data,factorial_between_anova,1
study_29,recomputed_from_raw_data_effect_size_d_off_by_0.04,factorial_between_anova,1
study_3,recomputed_from_raw_data_type_III_manova,manova,2
study_30,recomputed_from_raw_data,paired_t_test,1
study_33,recomputed_from_raw_data,one_sample_t_test,2
study_35,recomputed_from_author_delayed_recall_variables_but_does_not_match_article_F,mixed_anova,1
study_37,recomputed_from_raw_data,mixed_effects_logistic_regression,2
study_39,recomputed_from_raw_data,spearman_correlation,1
study_39,recomputed_from_raw_data_extraction_typo_corrected,spearman_correlation,1
study_40,recomputed_from_author_lavaan_models,chi_square_difference,1
study_41,recomputed_from_raw_data,paired_t_test,2
study_43,recomputed_from_author_spss_repeated_measures_glm,mixed_anova,1
study_44,recomputed_from_original_experiment1_columns_type3_pillai_manova,manova,2
study_45,recomputed_from_original_author_friedman_test,friedman_test,1
study_47,recomputed_from_author_spss_glm,mixed_anova,2
study_49,recomputed_from_raw_data_reporting_inconsistency_detected,paired_t_test,2
study_5,recomputed_from_raw_data,independent_t_test,2
study_51,recomputed_from_raw_data,independent_t_test,1
study_51,recomputed_from_raw_data_reporting_inconsistency_detected,independent_t_test,1
study_53,recomputed_from_raw_data,independent_t_test,2
study_55,recomputed_from_author_experiment_1_cleaned_data,welch_anova,1
study_6,recomputed_from_raw_data_simple_effect,factorial_between_anova,1
study_60,recomputed_from_author_spss_unianova,factorial_between_anova,2
