claim_id,study_id,stat_test,bf_family,prior_label,rscale,p_value,bf10
study_05_claim_01,study_05,independent_t_test,t_test,narrow,0.5,0.00135718173128889,22.42292120039402
study_05_claim_01,study_05,independent_t_test,t_test,primary,0.707,0.00135718173128889,22.708801964218733
study_05_claim_01,study_05,independent_t_test,t_test,wide,1,0.00135718173128889,20.964332687785642
study_05_claim_02,study_05,independent_t_test,t_test,narrow,0.5,1.039549491399382e-34,8701994605653753e15
study_05_claim_02,study_05,independent_t_test,t_test,primary,0.707,1.039549491399382e-34,1206894793090218e16
study_05_claim_02,study_05,independent_t_test,t_test,wide,1,1.039549491399382e-34,16441307503291403e15
study_14_claim_01,study_14,pearson_correlation,correlation,narrow,0.5,2.801095267522945e-4,122.16288514338763
study_14_claim_01,study_14,pearson_correlation,correlation,primary,1,2.801095267522945e-4,102.21132923929022
study_14_claim_01,study_14,pearson_correlation,correlation,wide,1.5,2.801095267522945e-4,85.48720202599745
study_14_claim_02,study_14,pearson_correlation,correlation,narrow,0.5,5.3489935621111325e-6,3314.3552851557492
study_14_claim_02,study_14,pearson_correlation,correlation,primary,1,5.3489935621111325e-6,2423.40282917642
study_14_claim_02,study_14,pearson_correlation,correlation,wide,1.5,5.3489935621111325e-6,1932.670587781571
study_21_claim_01,study_21,paired_t_test,t_test,narrow,0.5,3.104418290506897e-5,522.4449990439882
study_21_claim_01,study_21,paired_t_test,t_test,primary,0.707,3.104418290506897e-5,426.19429162904305
study_21_claim_01,study_21,paired_t_test,t_test,wide,1,3.104418290506897e-5,327.31704594908524
study_22_claim_01,study_22,repeated_measures_anova,t_test,narrow,0.5,2.950955104342273e-7,44171.89996318873
study_22_claim_01,study_22,repeated_measures_anova,t_test,primary,0.707,2.950955104342273e-7,55202.842076426954
study_22_claim_01,study_22,repeated_measures_anova,t_test,wide,1,2.950955104342273e-7,63855.76893801112
study_30_claim_01,study_30,paired_t_test,t_test,narrow,0.5,0.23339342533095808,0.4521858415461433
study_30_claim_01,study_30,paired_t_test,t_test,primary,0.707,0.23339342533095808,0.3476388386024592
study_30_claim_01,study_30,paired_t_test,t_test,wide,1,0.23339342533095808,0.25864254685167487
study_33_claim_01,study_33,one_sample_t_test,t_test,narrow,0.5,0.0013185060147071,27.51851961621932
study_33_claim_01,study_33,one_sample_t_test,t_test,primary,0.707,0.0013185060147071,31.720482926146587
study_33_claim_01,study_33,one_sample_t_test,t_test,wide,1,0.0013185060147071,33.79484487587499
study_33_claim_02,study_33,one_sample_t_test,t_test,narrow,0.5,5.650748853873423e-9,1236506.1093075487
study_33_claim_02,study_33,one_sample_t_test,t_test,primary,0.707,5.650748853873423e-9,1720221.213951452
study_33_claim_02,study_33,one_sample_t_test,t_test,wide,1,5.650748853873423e-9,2358308.45502912
study_41_claim_01,study_41,paired_t_test,t_test,narrow,0.5,2.1220678220813164e-9,4381290.713453433
study_41_claim_01,study_41,paired_t_test,t_test,primary,0.707,2.1220678220813164e-9,5580440.54895773
study_41_claim_01,study_41,paired_t_test,t_test,wide,1,2.1220678220813164e-9,6615939.056658093
study_41_claim_02,study_41,paired_t_test,t_test,narrow,0.5,1.219425388797962e-6,12442.575377229863
study_41_claim_02,study_41,paired_t_test,t_test,primary,0.707,1.219425388797962e-6,14725.20209602652
study_41_claim_02,study_41,paired_t_test,t_test,wide,1,1.219425388797962e-6,15876.026067036477
study_49_claim_01,study_49,paired_t_test,t_test,narrow,0.5,0.23872409198062056,0.49386703494045453
study_49_claim_01,study_49,paired_t_test,t_test,primary,0.707,0.23872409198062056,0.3856682817079567
study_49_claim_01,study_49,paired_t_test,t_test,wide,1,0.23872409198062056,0.290301009960134
study_49_claim_02,study_49,paired_t_test,t_test,narrow,0.5,0.638721937245851,0.29700668922861895
study_49_claim_02,study_49,paired_t_test,t_test,primary,0.707,0.638721937245851,0.22243690013429868
study_49_claim_02,study_49,paired_t_test,t_test,wide,1,0.638721937245851,0.1627434273878858
study_51_claim_01,study_51,independent_t_test,t_test,narrow,0.5,0.00640275145451495,6.621396794880843
study_51_claim_01,study_51,independent_t_test,t_test,primary,0.707,0.00640275145451495,6.1391261151198835
study_51_claim_01,study_51,independent_t_test,t_test,wide,1,0.00640275145451495,5.2454457354345845
study_53_claim_01,study_53,independent_t_test,t_test,narrow,0.5,0.00115012656411969,24.766626634662313
study_53_claim_01,study_53,independent_t_test,t_test,primary,0.707,0.00115012656411969,21.612970835096405
study_53_claim_01,study_53,independent_t_test,t_test,wide,1,0.00115012656411969,17.466411603063165
study_53_claim_02,study_53,independent_t_test,t_test,narrow,0.5,0.00563382702166837,6.420247631822599
study_53_claim_02,study_53,independent_t_test,t_test,primary,0.707,0.00563382702166837,5.373185840217522
study_53_claim_02,study_53,independent_t_test,t_test,wide,1,0.00563382702166837,4.217273109596863
