claim_id,study_id,stat_test,p_value,bf10,cell,bf_band,concordant,x_c,y_c,prior_sensitivity_span
study_05_claim_01,study_05,independent_t_test,0.00135718173128889,22.708801964218733,p<alpha x supports_H1,supports_H1,TRUE,2.8673619949257008,1.3561942229888553,0.03471317998524737
study_05_claim_02,study_05,independent_t_test,1.039549491399382e-34,1206894793090218e16,p<alpha x supports_H1,supports_H1,TRUE,33.98315482972838,31.081669413616996,0.27631754232701056
study_14_claim_01,study_14,pearson_correlation,2.801095267522945e-4,102.21132923929022,p<alpha x supports_H1,supports_H1,TRUE,3.5526721202175144,2.009499036243074,0.1550381780145189
study_14_claim_02,study_14,pearson_correlation,5.3489935621111325e-6,2423.40282917642,p<alpha x supports_H1,supports_H1,TRUE,5.271727924808534,3.3844256105665025,0.2342412237257694
study_21_claim_01,study_21,paired_t_test,3.104418290506897e-5,426.19429162904305,p<alpha x supports_H1,supports_H1,TRUE,4.508019766466725,2.629607628553665,0.20307195337882256
study_22_claim_01,study_22,repeated_measures_anova,2.950955104342273e-7,55202.842076426954,p<alpha x supports_H1,supports_H1,TRUE,6.530037397780532,4.741961437626579,0.16005405900724679
study_30_claim_01,study_30,paired_t_test,0.23339342533095808,0.3476388386024592,p>=alpha x inconclusive,inconclusive,FALSE,0.6319113821496984,-0.4588717096443267,0.24261699184739488
study_33_claim_01,study_33,one_sample_t_test,0.0013185060147071,31.720482926146587,p<alpha x supports_H1,supports_H1,TRUE,2.879917884719128,1.5013397905801216,0.08922539037265587
study_33_claim_02,study_33,one_sample_t_test,5.650748853873423e-9,1720221.213951452,p<alpha x supports_H1,supports_H1,TRUE,8.247893994383347,6.235584299129016,0.28040434157760785
study_41_claim_01,study_41,paired_t_test,2.1220678220813164e-9,5580440.54895773,p<alpha x supports_H1,supports_H1,TRUE,8.673240739998784,6.746668485752801,0.17898942497700787
study_41_claim_02,study_41,paired_t_test,1.219425388797962e-6,14725.20209602652,p<alpha x supports_H1,supports_H1,TRUE,5.913844767080154,4.168061263974375,0.1058315229252198
study_49_claim_01,study_49,paired_t_test,0.23872409198062056,0.3856682817079567,p>=alpha x inconclusive,inconclusive,FALSE,0.6221037498819704,-0.41378607709362153,0.23076149172002414
study_49_claim_02,study_49,paired_t_test,0.638721937245851,0.22243690013429868,p>=alpha x supports_H0,supports_H0,TRUE,0.19468816751007423,-0.6527931658516979,0.2612627726441048
study_51_claim_01,study_51,independent_t_test,0.00640275145451495,6.1391261151198835,p<alpha x supports_H1,supports_H1,TRUE,2.193633356527809,0.7881065551164219,0.10116721568536702
study_53_claim_01,study_53,independent_t_test,0.00115012656411969,21.612970835096405,p<alpha x supports_H1,supports_H1,TRUE,2.9392543656686994,1.3347144674205305,0.15166316679300262
study_53_claim_02,study_53,independent_t_test,0.00563382702166837,5.373185840217522,p<alpha x supports_H1,supports_H1,TRUE,2.249196491515702,0.7302318615970278,0.18252005259206283
